OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UFO 4 (USA 108),1995-003A,2026-06-24T19:38:38.743872,1.00273455,.0002953,9.6939,13.2032,77.4112,289.2045,0,U,23467,999,11503,0,-.22E-6,0
TDRS 7,1995-035B,2026-06-24T23:19:56.747712,1.00279226,.0011858,13.3739,348.1358,81.7682,282.1641,0,U,23613,999,11333,0,-.241E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-06-25T00:17:38.493312,1.00364344,.000201,14.0755,3.6920,132.3204,49.9224,0,U,23712,999,3296,0,-.208E-5,0
POLAR,1996-013A,2026-06-21T15:48:09.590112,1.29846120,.64748323,79.8598,226.9999,208.9246,90.1528,0,U,23802,999,14491,0,.83E-6,0
INMARSAT 3-F1,1996-020A,2026-06-25T03:33:09.639936,0.99978032,.0003822,10.6169,46.5609,64.2039,112.2286,0,U,23839,999,11033,0,-.66E-6,0
USA 119,1996-029A,2026-06-25T03:13:59.217024,13.46254704,.0851595,63.3165,171.3039,49.2894,317.8994,0,U,23893,999,10634,.2967E-3,.1763E-4,0
JAS-2 (FO-29),1996-046B,2026-06-25T03:33:17.275968,13.53274732,.0350915,98.5234,23.9293,75.8351,288.1508,0,U,24278,999,47424,.17093E-4,-.16E-6,0
INMARSAT 3-F2,1996-053A,2026-06-23T18:15:30.923712,1.00001315,.0006515,9.8711,53.8690,36.0978,238.8301,0,U,24307,999,10898,0,-.303E-5,0
INMARSAT 3-F3,1996-070A,2026-06-23T19:42:16.585920,0.99985595,.00031343,10.3319,49.5894,37.2361,156.3639,0,U,24674,999,10797,0,.13E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-06-24T04:21:42.391296,2.00563915,.0102821,55.9983,98.3018,57.0755,303.8959,0,U,24876,999,21209,0,-.47E-6,0
FORTE,1997-047A,2026-06-24T22:34:05.367360,14.27947855,.0024637,69.9540,356.5079,267.9935,91.8366,0,U,24920,999,49979,.8417E-4,.151E-5,0
USA 134,1997-065A,2026-06-25T03:30:32.391072,1.00269527,.0003133,12.7936,21.6646,345.9046,205.9654,0,U,25019,999,3303,0,-.64E-6,0
ORBCOMM FM06,1997-084G,2026-06-23T19:52:10.731072,14.47576116,.00004944,45.0147,20.7433,357.6527,17.4155,0,U,25118,999,49535,.27590084E-3,.88E-5,0
INMARSAT 3-F5,1998-006B,2026-06-25T02:03:38.676384,1.00273531,.0004325,9.7108,53.1828,34.7192,162.2648,0,U,25153,999,10397,0,-.29E-5,0
ORBCOMM FM04,1998-007C,2026-06-24T07:00:41.990688,14.35752481,.00415462,107.9627,184.0425,312.5677,47.1960,0,U,25159,999,47761,.27711157E-3,.677E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-06-25T05:15:00.931392,14.22488659,.0060411,108.0151,348.5452,120.2426,52.8633,0,U,25160,999,47165,.70281E-4,.3E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-06-23T22:45:24.588000,14.24429485,.00013897,99.0070,167.8775,150.1095,210.0162,0,U,25397,999,45229,.36578906E-4,.38E-6,0
WESTPAC,1998-043E,2026-06-25T05:06:16.606944,14.23053718,.0001583,99.0138,162.4507,146.9474,213.1802,0,U,25398,999,45208,.12153E-4,-.19E-6,0
ORBCOMM FM19,1998-046C,2026-06-23T20:01:29.959392,14.39504255,.00044661,44.9920,211.9647,308.8882,220.7626,0,U,25415,999,45773,.19353144E-3,.466E-5,0
ORBCOMM FM20,1998-046D,2026-06-23T19:42:17.417088,14.38072666,.00024727,44.9922,220.0240,272.0892,87.9673,0,U,25416,999,45774,.15500359E-3,.332E-5,0
ORBCOMM FM27,1998-053G,2026-06-24T01:26:17.569248,14.39152544,.00016403,45.0061,302.7108,220.0549,140.0179,0,U,25481,999,45122,.2664014E-3,.69E-5,0
SCD 2,1998-060A,2026-06-24T23:35:29.039136,14.45528454,.0016662,24.9966,24.0820,204.9397,299.4651,0,U,25504,999,46145,.49767E-4,.361E-5,0
